"source","object_id","original_location_str","site","no_samples","results","street_name","street_suffix","notes","geometry"
"Property Water Samples",367,"1310 AINAKEA RD","TMK 4-5-030:097",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0528_0405_SVOC_1 <br> Laboratory ID: 2404014-03 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/5/2024 <br> Sample ID: SL_M0528_0405_VOC_1 <br> Laboratory ID: 2404026-03 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0528_0405_SVOC_1<br> Laboratory ID: 2404014-03<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.323 ug/L <br> RL: 4.74 ug/L","1310 AINAKEA","RD",NA,c(-156.6822655, 20.8896747)
"Property Water Samples",368,"1292 KAHOMA ST","TMK 4-5-030:095",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0529_0405_SVOC_1 <br> Laboratory ID: 2404014-04 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/5/2024 <br> Sample ID: SL_M0529_0405_VOC_1 <br> Laboratory ID: 2404026-04 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0529_0405_SVOC_1<br> Laboratory ID: 2404014-04<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.299 ug/L <br> RL: 4.67 ug/L","1292 KAHOMA","ST",NA,c(-156.6821674, 20.8896664)
"Property Water Samples",369,"1286 KAHOMA ST","TMK 4-5-030:096",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0533_0405_SVOC_1 <br> Laboratory ID: 2404014-05 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/5/2024 <br> Sample ID: SL_M0533_0405_VOC_1 <br> Laboratory ID: 2404026-05 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0533_0405_SVOC_1<br> Laboratory ID: 2404014-05<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.331 ug/L <br> RL: 4.72 ug/L","1286 KAHOMA","ST",NA,c(-156.6822736, 20.8895693)
"Property Water Samples",370,"1342 KAHOMA ST","TMK 4-5-030:084",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0471_0405_SVOC_1 <br> Laboratory ID: 2404014-07 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/5/2024 <br> Sample ID: SL_M0471_0405_VOC_1 <br> Laboratory ID: 2404026-07 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0471_0405_SVOC_1<br> Laboratory ID: 2404014-07<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.314 ug/L <br> RL: 4.76 ug/L","1342 KAHOMA","ST",NA,c(-156.6818311, 20.8909285)
"Property Water Samples",371,"1351 KAHOMA ST","TMK 4-5-030:128",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0464_0405_SVOC_1 <br> Laboratory ID: 2404014-08 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/2024 <br> Station ID: SL_M0464_0405_VOC_1 <br> Laboratory ID: 2404022-01 <br> Analyte: Benzene <br> Result: 0.37 ug/L  <br> RL: 0.50 ug/L ","1351 KAHOMA","ST",NA,c(-156.6819677, 20.8911971)
"Property Water Samples",372,"1336 KAHOMA ST","TMK 4-5-030:085",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0484_0405_SVOC_1 <br> Laboratory ID: 2404014-09 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)<p> Sample Date: 4/05/24 <br> Sample ID: SL_M0484_0405_VOC_1 <br> Laboratory ID: 2404022-02 <br> Reporting value: All VOCs are ND (Non-detect)   <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0484_0405_SVOC_1<br> Laboratory ID: 2404014-09<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.332 ug/L <br> RL: 4.61 ug/L","1336 KAHOMA","ST",NA,c(-156.6818416, 20.8906315)
"Property Water Samples",373,"1328 KAHOMA ST","TMK 4-5-030:086",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0485_0405_SVOC_1 <br> Laboratory ID: 2404014-10 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/2024 <br> Station ID: SL_M0485_0405_VOC_1 <br> Laboratory ID: 2404022-03 <br> Analyte: Benzene, Toluene <br> Result: 0.51 ug/L & 0.55 ug/L respectively  <br> RL: 0.50 ug/L & 0.50 ug/L respectively","1328 KAHOMA","ST",NA,c(-156.6818033, 20.8905545)
"Property Water Samples",374,"1322 KAHOMA ST","TMK 4-5-030:087",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0499_0405_SVOC_1 <br> Laboratory ID: 2404014-11 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0499_0405_VOC_1 <br> Laboratory ID: 2404022-04 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0499_0405_SVOC_1<br> Laboratory ID: 2404014-11<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.323 ug/L <br> RL: 4.62 ug/L","1322 KAHOMA","ST",NA,c(-156.681785, 20.8902513)
"Property Water Samples",375,"1316 KAHOMA ST","TMK 4-5-030:088",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0502_0405_SVOC_1 <br> Laboratory ID: 2404014-12 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0502_0405_VOC_1 <br> Laboratory ID: 2404022-05 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0502_0405_SVOC_1<br> Laboratory ID: 2404014-12<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.359 ug/L <br> RL: 4.6 ug/L","1316 KAHOMA","ST",NA,c(-156.6818315, 20.8902067)
"Property Water Samples",376,"1310 KAHOMA ST","TMK 4-5-030:089",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0517_0405_SVOC_1 <br> Laboratory ID: 2404014-13 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0517_0405_VOC_1 <br> Laboratory ID: 2404022-06 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0517_0405_SVOC_1<br> Laboratory ID: 2404014-13<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.323 ug/L <br> RL: 4.75 ug/L","1310 KAHOMA","ST",NA,c(-156.6818259, 20.8898754)
"Property Water Samples",377,"1304 KAHOMA ST","TMK 4-5-030:090",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0519_0405_SVOC_1 <br> Laboratory ID: 2404014-14 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0519_0405_VOC_1 <br> Laboratory ID: 2404022-07 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0519_0405_SVOC_1<br> Laboratory ID: 2404014-14<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.327 ug/L <br> RL: 4.81 ug/L","1304 KAHOMA","ST",NA,c(-156.6818602, 20.8898483)
"Property Water Samples",378,"1302 KAHOMA ST","TMK 4-5-030:091",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0530_0405_SVOC_1 <br> Laboratory ID: 2404014-15 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/2024 <br> Station ID: SL_M0530_0405_VOC_1 <br> Laboratory ID: 2404022-08 <br> Analyte: Toluene <br> Result: 0.29 ug/L  <br> RL: 0.50 ug/L ","1302 KAHOMA","ST",NA,c(-156.6817146, 20.8896112)
"Property Water Samples",379,"1364 KAHOMA ST","TMK 4-5-030:080",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0454_0405_SVOC_1 <br> Laboratory ID: 2404014-16 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)<p> Sample Date: 4/05/24 <br> Sample ID: SL_M0454_0405_VOC_1 <br> Laboratory ID: 2404022-09 <br> Reporting value: All VOCs are ND (Non-detect)   <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0454_0405_SVOC_1<br> Laboratory ID: 2404014-16<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.323 ug/L <br> RL: 4.75 ug/L","1364 KAHOMA","ST",NA,c(-156.6817915, 20.8913814)
"Property Water Samples",380,"1311 KAHOMA ST","TMK 4-5-030:134",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0509_0405_SVOC_1 <br> Laboratory ID: 2404014-17 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0509_0405_VOC_1 <br> Laboratory ID: 2404021-04 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0509_0405_SVOC_1<br> Laboratory ID: 2404014-17<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.306 ug/L <br> RL: 4.78 ug/L","1311 KAHOMA","ST",NA,c(-156.681959, 20.8901185)
"Property Water Samples",381,"1297 KAHOMA ST","TMK 4-5-030:135",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0524_0405_SVOC_1 <br> Laboratory ID: 2404014-18 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0524_0405_VOC_1 <br> Laboratory ID: 2404021-05 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0524_0405_SVOC_1<br> Laboratory ID: 2404014-18<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.325 ug/L <br> RL: 4.78 ug/L","1297 KAHOMA","ST",NA,c(-156.6822336, 20.8897058)
"Property Water Samples",382,"1298 KAHOMA ST","TMK 4-5-030:094",2,"<p> Sample Date: 4/5/2024 <br> Station ID: SL_M0532_0405_SVOC_1 <br> Laboratory ID: 2404014-19 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/05/24 <br> Sample ID: SL_M0532_0405_VOC_1 <br> Laboratory ID: 2404021-06 <br> Reporting value: All VOCs are ND (Non-detect)  <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0532_0405_SVOC_1<br> Laboratory ID: 2404014-19<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.31 ug/L <br> RL: 4.84 ug/L","1298 KAHOMA","ST",NA,c(-156.6820941, 20.8895846)
"Property Water Samples",383,"1421 KAHOMA ST","TMK 4-5-030:116",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0381_0405_SVOC_1 <br> Laboratory ID: 2404014-21 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0381_0406_VOC_1<br> Laboratory ID: 2404024-01<br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0381_0406_SVOC_1<br> Laboratory ID: 2404014-21<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.344 ug/L <br> RL: 5.06 ug/L","1421 KAHOMA","ST",NA,c(-156.6819934, 20.8927782)
"Property Water Samples",384,"1445 KAHOMA ST","TMK 4-5-030:113",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0386_0405_SVOC_1 <br> Laboratory ID: 2404014-22 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0386_0406_VOC_1<br> Laboratory ID: 2404024-02<br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0386_0406_SVOC_1<br> Laboratory ID: 2404014-22<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.303 ug/L <br> RL: 4.89 ug/L","1445 KAHOMA","ST",NA,c(-156.6823948, 20.8927427)
"Property Water Samples",385,"1370 AINAKEA RD","TMK 4-5-030:107",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0451_0405_SVOC_1 <br> Laboratory ID: 2404014-23 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0451_0406_VOC_1<br> Laboratory ID: 2404024-03<br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0451_0406_SVOC_1<br> Laboratory ID: 2404014-23<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.36 ug/L <br> RL: 4.86 ug/L","1370 AINAKEA","RD",NA,c(-156.6824814, 20.8915302)
"Property Water Samples",386,"1351 AINAKEA RD","TMK 4-5-030:022",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0475_0405_SVOC_1 <br> Laboratory ID: 2404014-24 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0475_0406_VOC_1<br> Laboratory ID: 2404024-04<br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0475_0406_SVOC_1<br> Laboratory ID: 2404014-24<br> Analyte: Bis(2ethylhexyl)phthalate <br> Result:0.294 ug/L <br> RL: 4.89 ug/L","1351 AINAKEA","RD",NA,c(-156.6826591, 20.8908888)
"Property Water Samples",387,"1316 AINAKEA RD","TMK 4-5-030:098",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0511_0406_SVOC_1 <br> Laboratory ID: 2404014-25 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0511_0406_VOC_1<br> Laboratory ID: 2404024-05<br> Reporting value: All VOCs are ND (Non-detect)","1316 AINAKEA","RD",NA,c(-156.6824894, 20.8900605)
"Property Water Samples",388,"1363 KAHOMA ST","TMK 4-5-030:126",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0452_0406_SVOC_1 <br> Laboratory ID: 2404014-26 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024<br> Station ID: SL_M0452_0406_VOC_1<br> Laboratory ID: 2404024-06<br> Reporting value: All VOCs are ND (Non-detect)","1363 KAHOMA","ST",NA,c(-156.6818693, 20.8915068)
"Property Water Samples",389,"1357 KAHOMA ST","TMK 4-5-030:127",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0459_0406_SVOC_1 <br> Laboratory ID: 2404014-27 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/06/24 <br> Sample ID: SL_M0459_0406_VOC_1 <br> Laboratory ID: 2404023-01 <br> Reporting value: All VOCs are ND (Non-detect) ","1357 KAHOMA","ST",NA,c(-156.6819759, 20.8912221)
"Property Water Samples",390,"1416 KAHOMA ST","TMK 4-5-030:066",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0377_0406_SVOC_1 <br> Laboratory ID: 2404014-28 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/06/24 <br> Sample ID: SL_M0377_0406_VOC_1 <br> Laboratory ID: 2404023-05 <br> Reporting value: All VOCs are ND (Non-detect) ","1416 KAHOMA","ST",NA,c(-156.6816857, 20.892866)
"Property Water Samples",391,"1411 KAHOMA ST","TMK 4-5-030:117",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0400_0406_SVOC_1 <br> Laboratory ID: 2404014-29 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit) <p> Sample Date: 4/06/24 <br> Sample ID: SL_M0400_0406_VOC_1 <br> Laboratory ID: 2404023-06 <br> Reporting value: All VOCs are ND (Non-detect) ","1411 KAHOMA","ST",NA,c(-156.6815555, 20.8924912)
"Property Water Samples",392,"1387 AINAKEA RD","TMK 4-5-030:028",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0421_0406_SVOC_1 <br> Laboratory ID: 2404014-30 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0421_0406_VOC_1 <br> Laboratory ID: 2404025-01 <br> Reporting value: All VOCs are ND (Non-detect) ","1387 AINAKEA","RD",NA,c(-156.682645, 20.8920416)
"Property Water Samples",393,"1395 AINAKEA RD","TMK 4-5-030:029",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0422_0406_SVOC_1 <br> Laboratory ID: 2404014-31 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0422_0406_VOC_1 <br> Laboratory ID: 2404025-02 <br> Reporting value: All VOCs are ND (Non-detect) ","1395 AINAKEA","RD",NA,c(-156.6826462, 20.8920548)
"Property Water Samples",394,"1381 AINAKEA ST","TMK 4-5-030:027",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0444_0406_SVOC_1 <br> Laboratory ID: 2404014-32 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)   <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0444_0406_VOC_1 <br> Laboratory ID: 2404025-03 <br> Reporting value: All VOCs are ND (Non-detect) ","1381 AINAKEA","ST",NA,c(-156.682622, 20.8917463)
"Property Water Samples",395,"1339 AINAKEA RD","TMK 4-5-030:020",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0486_0406_SVOC_1 <br> Laboratory ID: 2404014-33 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0486_0406_VOC_1 <br> Laboratory ID: 2404025-04 <br> Analyte: Toluene, Ethylbenzene <br> Result: 0.62 and 0.37 ug/L respectively <br> RL: 0.50 ug/L","1339 AINAKEA","RD",NA,c(-156.6826165, 20.8905137)
"Property Water Samples",396,"1331 AINAKEA RD","TMK 4-5-030:019",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0488_0406_SVOC_1 <br> Laboratory ID: 2404014-34 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0488_0406_VOC_1 <br> Laboratory ID: 2404025-05 <br> Analyte: Toluene <br> Result: 0.69 ug/L  <br> RL: 0.50 ug/L","1331 AINAKEA","RD",NA,c(-156.682644, 20.8904954)
"Property Water Samples",397,"1330 AINAKEA RD","TMK 4-5-030:100",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0492_0406_SVOC_1 <br> Laboratory ID: 2404014-35 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0492_0406_VOC_1 <br> Laboratory ID: 2404025-06 <br> Analyte: Toluene <br> Result: 0.39 ug/L  <br> RL: 0.50 ug/L","1330 AINAKEA","RD",NA,c(-156.682526, 20.8904259)
"Property Water Samples",398,"216 AKEKE PL","TMK 4-5-030:070",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0367_0406_SVOC_1 <br> Laboratory ID: 2404014-36 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0367_0406_VOC_1 <br> Laboratory ID: 2404025-07 <br> Analyte: Dichloromethane <br> Result: 1.1 ug/L  <br> RL: 0.50 ug/L","216 AKEKE","PL",NA,c(-156.6809155, 20.8929737)
"Property Water Samples",399,"1420 KAHOMA ST","TMK 4-5-030:065",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0376_0406_SVOC_1 <br> Laboratory ID: 2404014-37 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0376_0406_VOC_1 <br> Laboratory ID: 2404025-08 <br> Reporting value: All VOCs are ND (Non-detect) ","1420 KAHOMA","ST",NA,c(-156.6817139, 20.8928774)
"Property Water Samples",400,"1400 KAHOMA ST","TMK 4-5-030:074",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0405_0406_SVOC_1 <br> Laboratory ID: 2404014-38 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0405_0406_VOC_1 <br> Laboratory ID: 2404025-09 <br> Analyte: Toluene <br> Result: 0.28 ug/L  <br> RL: 0.50 ug/L","1400 KAHOMA","ST",NA,c(-156.6814132, 20.8923761)
"Property Water Samples",401,"1396 KAHOMA ST","TMK 4-5-030:075",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0406_0406_SVOC_1 <br> Laboratory ID: 2404014-39 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0406_0406_VOC_1 <br> Laboratory ID: 2404025-10 <br> Analyte: Toluene <br> Result: 0.53 ug/L  <br> RL: 0.50 ug/L","1396 KAHOMA","ST",NA,c(-156.6814276, 20.8923918)
"Property Water Samples",402,"1372 KAHOMA ST","TMK 4-5-030:079",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0442_0406_SVOC_1 <br> Laboratory ID: 2404014-40 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0442_0406_VOC_1 <br> Laboratory ID: 2404025-11 <br> Reporting value: All VOCs are ND (Non-detect) ","1372 KAHOMA","ST",NA,c(-156.6816792, 20.8917025)
"Property Water Samples",403,"1378 KAHOMA ST","TMK 4-5-030:078",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0443_0406_SVOC_1 <br> Laboratory ID: 2404014-41 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Station ID: SL_M0443_0406_VOC_1 <br> Laboratory ID: 2404025-12 <br> Analyte: Dichloromethane <br> Result: 0.31 ug/L  <br> RL: 0.50 ug/L","1378 KAHOMA","ST",NA,c(-156.6816702, 20.8917171)
"Property Water Samples",404,"1390 KAHOMA ST","TMK 4-5-030:076",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0419_0406_SVOC_1 <br> Laboratory ID: 2404014-42 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0419_0406_VOC_1 <br> Laboratory ID: 2404025-13 <br> Reporting value: All VOCs are ND (Non-detect) ","1390 KAHOMA","ST",NA,c(-156.6815684, 20.8920436)
"Property Water Samples",405,"1384 KAHOMA ST","TMK 4-5-030:077",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0420_0406_SVOC_1 <br> Laboratory ID: 2404014-43 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0420_0406_VOC_1 <br> Laboratory ID: 2404025-14 <br> Reporting value: All VOCs are ND (Non-detect) ","1384 KAHOMA","ST",NA,c(-156.6815564, 20.8920779)
"Property Water Samples",406,"1336 AINAKEA RD","TMK 4-5-030:101",2,"<p> Sample Date: 4/6/2024 <br> Station ID: SL_M0493_0406_SVOC_1 <br> Laboratory ID: 2404014-44 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 4/6/2024 <br> Sample ID: SL_M0493_0406_VOC_1 <br> Laboratory ID: 2404025-15 <br> Reporting value: All VOCs are ND (Non-detect) ","1336 AINAKEA","RD",NA,c(-156.6825264, 20.8904308)
"Property Water Samples",407,"115 HAMAU PL","TMK 4-5-030:054",2,"<p> Sample Date: 4/9/2024 <br> Station ID: SL_M0391_0409_SVOC_1 <br> Laboratory ID: 2404015-01 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 04/09/2024 <br> Sample ID: SL_M0391_0409_VOC_1 <br> Laboratory ID: 2404035-01 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0391_0409_SVOC_1<br> Laboratory ID: 2404015-01<br> No target analytes were detected","115 HAMAU","PL",NA,c(-156.6839835, 20.8926713)
"Property Water Samples",408,"110 HAMAU PL","TMK 4-5-030:051",2,"<p> Sample Date: 4/9/2024 <br> Station ID: SL_M0397_0409_SVOC_1 <br> Laboratory ID: 2404015-02 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 04/09/2024 <br> Sample ID: SL_M0397_0409_VOC_1 <br> Laboratory ID: 2404035-02 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0397_0409_SVOC_1<br> Laboratory ID: 2404015-02<br> No target analytes were detected","110 HAMAU","PL",NA,c(-156.6840253, 20.8925348)
"Property Water Samples",409,"114 HAMAU PL","TMK 4-5-030:005",2,"<p> Sample Date: 4/9/2024 <br> Station ID: SL_M0398_0409_SVOC_1 <br> Laboratory ID: 2404015-03 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 04/09/2024 <br> Sample ID: SL_M0398_0409_VOC_1 <br> Laboratory ID: 2404035-03 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0398_0409_SVOC_1<br> Laboratory ID: 2404015-03<br> No target analytes were detected","114 HAMAU","PL",NA,c(-156.6838226, 20.8925129)
"Property Water Samples",410,"118 HAMAU PL","TMK 4-5-030:049",2,"<p> Sample Date: 4/9/2024 <br> Station ID: SL_M0399_0409_SVOC_1 <br> Laboratory ID: 2404015-04 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 04/09/2024 <br> Sample ID: SL_M0399_0409_VOC_1 <br> Laboratory ID: 2404035-04 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0399_0409_SVOC_1<br> Laboratory ID: 2404015-04<br> No target analytes were detected","118 HAMAU","PL",NA,c(-156.6837652, 20.8924997)
"Property Water Samples",411,"1394 KOMOHANA PL","TMK 4-5-030:035",2,"<p> Sample Date: 4/9/2024 <br> Station ID: SL_M0423_0409_SVOC_1 <br> Laboratory ID: 2404015-05 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 04/09/2024 <br> Sample ID: SL_M0423_0409_VOC_1 <br> Laboratory ID: 2404035-05 <br> Reporting value: All VOCs are ND (Non-detect) <p> AMENDED  FINAL REPORT <br> Sample ID: SL_M0423_0409_SVOC_1<br> Laboratory ID: 2404015-05<br> No target analytes were detected","1394 KOMOHANA","PL",NA,c(-156.6832348, 20.8920189)
